Property_ID,Type,City,Size_SqFt,Bedrooms,Bathrooms,Year_Built,Listing_Price,Rental_Price,Neighborhood,Status
1,Condo,Chicago,4934,4,2,1989,1153430.619,4719.426366,The Loop,Rented
2,Townhouse,Los Angeles,3960,5,2,2012,1101016.067,4256.943395,Beverly Hills,Available
3,Apartment,Miami,4561,1,3,1982,320231.6253,2714.886541,Downtown,Rented
4,Condo,Seattle,973,4,2,1995,1030782.371,4706.561545,Queen Anne,Available
5,Condo,San Francisco,3713,5,1,1959,1146182.47,4809.795725,Downtown,Sold
6,Townhouse,San Francisco,4608,4,3,1960,1862549.666,2302.121914,SoMa,Rented
7,Apartment,San Francisco,948,2,2,1965,975641.6021,6535.608536,Mission District,Sold
8,Apartment,Seattle,2721,1,1,1957,1315743.34,3031.171804,Capitol Hill,Available
9,Condo,New York,2482,1,3,1996,1181567.014,6155.452725,Manhattan,Sold
10,House,Seattle,2759,1,1,1995,470966.0087,7909.941864,Queen Anne,Sold
11,Condo,New York,3142,2,2,1953,450377.5965,7965.962013,Bronx,Sold
12,Condo,San Francisco,2420,5,2,1993,1504856.444,6974.859798,Downtown,Sold
13,Condo,Chicago,2816,5,2,1966,1093821.483,6927.252777,Hyde Park,Rented
14,Condo,Chicago,1774,1,1,1954,1802462.578,6544.774421,Hyde Park,Sold
15,Townhouse,New York,2115,5,3,2021,1825494.943,5729.477782,Brooklyn,Sold
16,Apartment,San Francisco,4118,1,1,2002,664443.9735,1879.867146,Mission District,Sold
17,Townhouse,Seattle,2806,5,1,1954,292901.0813,1309.767382,Capitol Hill,Available
18,Townhouse,Chicago,759,1,1,1984,1008036.7915,4790.766657,Hyde Park,Sold
19,Townhouse,New York,3706,5,2,1972,227373.6268,5574.509069,Queens,Rented
20,Condo,Seattle,2012,4,1,1971,1584384.033,3504.314233,Queen Anne,Available
21,Other,San Francisco,2628,1,1,2008,377745.0958,7615.481867,Downtown,Rented
22,Apartment,Los Angeles,3938,1,1,2015,1746083.042,2383.168368,Beverly Hills,Sold
23,House,San Francisco,2676,3,3,1985,889121.6867,2387.16917,SoMa,Sold
24,Townhouse,San Francisco,4008,1,1,2016,629347.191,7016.444577,Downtown,Sold
25,Townhouse,Seattle,2759,5,1,1977,1052885.643,4316.742219,Capitol Hill,Sold
26,House,Seattle,731,4,2,2022,1250393.144,769.8412841,Capitol Hill,Available
27,House,Miami,1229,4,1,1972,1432932.498,1969.369245,Downtown,Rented
28,House,Miami,3512,5,1,1962,742546.3255,4738.153658,South Beach,Rented
29,Townhouse,Seattle,3429,2,2,2022,1967644.52,2944.718005,Queen Anne,Available
30,Townhouse,Seattle,817,1,1,2018,902345.8325,4170.466964,Downtown,Rented
31,Apartment,Los Angeles,2030,4,1,1979,1685489.681,6454.704017,Hollywood,Rented
32,Apartment,Los Angeles,1610,5,3,2005,166248.5734,4212.762335,Santa Monica,Rented
33,Townhouse,San Francisco,1215,4,3,2009,1578129.948,3988.768357,Downtown,Sold
34,House,Chicago,1841,4,1,1970,1147542.48,1820.127827,Lincoln Park,Rented
35,House,Los Angeles,3904,5,3,1991,1315288.657,1597.197547,Hollywood,Sold
36,Apartment,San Francisco,3812,3,1,1997,808469.6696,3737.454922,Mission District,Sold
37,Townhouse,New York,3620,4,3,1971,1135197.15,2072.01719,Manhattan,Sold
38,Apartment,Miami,3587,4,1,2017,1871218.86,3503.255628,South Beach,Rented
39,Apartment,Chicago,701,2,3,2022,833469.8636,4741.623778,Hyde Park,Sold
40,Condo,San Francisco,2640,3,1,1999,300955.4704,1343.938485,Mission District,Sold
41,Condo,Seattle,2172,2,2,2012,1468974.033,1973.44202,Capitol Hill,Rented
42,Condo,New York,1556,5,2,1997,1059811.608,6928.583327,Bronx,Sold
43,House,Miami,2759,1,1,2015,907388.545,5250.96138,South Beach,Rented
44,Townhouse,New York,918,5,3,2004,1577854.733,6086.142519,Manhattan,Sold
45,Townhouse,San Francisco,3098,3,2,1985,1168135.973,4164.717518,Mission District,Rented
46,Townhouse,Los Angeles,1125,5,3,1978,1299623.322,5666.661871,Hollywood,Sold
47,Townhouse,Miami,4330,3,3,1996,1859544.381,3749.776836,Little Havana,Sold
48,Condo,New York,2378,2,2,1999,211170.9105,1471.687107,Manhattan,Sold
49,House,Los Angeles,2444,4,2,1958,598525.979,3779.658623,Santa Monica,Sold
50,House,Chicago,3429,5,3,2011,1806620.773,5195.726253,Lincoln Park,Rented
51,Condo,San Francisco,3267,5,1,1954,1606183.114,2396.799526,SoMa,Rented
52,House,San Francisco,3883,4,2,1956,458337.239,5778.827001,SoMa,Rented
53,Condo,Miami,4040,5,1,1993,421324.5986,1501.558614,Downtown,Rented
54,Townhouse,New York,893,5,1,1986,1667759.684,2237.872472,Brooklyn,Sold
55,Condo,Chicago,3356,1,2,1952,1150441.308,5940.36097,The Loop,Sold
56,Townhouse,Seattle,3419,1,1,1964,1734645.536,2261.059815,Downtown,Sold
57,Townhouse,Miami,3118,4,1,1952,1843599.847,5217.778075,Downtown,Sold
58,Apartment,Seattle,1131,2,1,1963,232132.2396,5794.049975,Queen Anne,Rented
